,Entity,Year,Anorexia,Bulimia
0,Afghanistan,1990,1869.81537194,6671.75488272
28,Albania,1990,932.92902916,3529.97177565
56,Algeria,1990,8745.11939861,36943.6922175
84,American Samoa,1990,24.383323887800003,68.0665731934
112,Andean Latin America,1990,14020.068094299999,95559.22161339999
140,Andorra,1990,83.9199780616,264.013784868
168,Angola,1990,3109.62448285,10517.9508795
196,Antigua and Barbuda,1990,29.5184411244,159.56389669799998
224,Argentina,1990,20980.8513644,76435.4191119
252,Armenia,1990,974.294924355,3943.11364629
280,Australasia,1990,20599.926514099996,112791.863327
308,Australia,1990,15669.1954301,97345.6996924
336,Austria,1990,8409.83245853,30791.869295099998
364,Azerbaijan,1990,2589.67780799,10018.3777189
392,Bahamas,1990,155.917544227,843.229919595
420,Bahrain,1990,235.120554394,1237.61256998
448,Bangladesh,1990,26181.743177400003,83139.15096669999
476,Barbados,1990,121.038328708,686.5185071459999
504,Belarus,1990,3250.85385917,13677.2230912
532,Belgium,1990,10560.9043489,34820.9395751
560,Belize,1990,65.7892123252,309.481775339
588,Benin,1990,1145.81459949,3613.55696032
616,Bermuda,1990,37.9399045532,236.370603877
644,Bhutan,1990,153.566585895,508.08226983300005
672,Bolivia,1990,1952.79772287,13056.8462677
700,Bosnia and Herzegovina,1990,967.7394503989999,3806.40142268
728,Botswana,1990,502.91772200099996,1661.6657097000002
756,Brazil,1990,68384.8451842,291807.22082800005
784,Brunei,1990,378.303239035,1188.97762513
812,Bulgaria,1990,2683.02456864,11405.1904361
840,Burkina Faso,1990,1960.89795636,5893.14011411
868,Burundi,1990,1185.53952082,3816.85919365
896,Cambodia,1990,2245.80672707,5443.97838639
924,Cameroon,1990,3039.87160046,9893.34292834
952,Canada,1990,25124.573861700002,93273.8232549
980,Cape Verde,1990,92.8875718331,288.590876068
1008,Caribbean,1990,13964.1287973,72364.7381535
1036,Central African Republic,1990,613.264029192,1986.90271068
1064,Central Asia,1990,22262.7090751,85459.4457125
1092,Central Europe,1990,39259.107270099994,164945.550181
1120,"Central Europe, Eastern Europe, and Central Asia",1990,142549.27299,608839.089095
1148,Central Latin America,1990,71606.22621060001,352831.31052600004
1176,Central Sub-Saharan Africa,1990,14229.706194299999,46656.474421599996
1204,Chad,1990,1344.12806135,4157.24610372
1232,Chile,1990,8873.17829894,32376.7202332
1260,China,1990,321456.876864,823665.277145
1288,Colombia,1990,13411.3730358,59124.382795599995
1316,Comoros,1990,120.96214794299999,380.548923585
1344,Congo,1990,805.73435286,2637.26647517
1372,Costa Rica,1990,1219.42053885,6027.93376847
1400,Cote d'Ivoire,1990,3681.35781093,12188.237931799998
1428,Croatia,1990,1653.70647598,7234.14017744
1456,Cuba,1990,4327.23881519,23508.392697599997
1484,Cyprus,1990,782.705498522,2386.24534745
1512,Czech Republic,1990,3845.09289709,16343.4555783
1540,Democratic Republic of Congo,1990,9159.95054659,29676.1248055
1568,Denmark,1990,5615.55402898,17406.6177384
1596,Djibouti,1990,159.05504598299999,539.2599326630001
